epoch,precision,f1 score (weighted),f1 score (macro),accuracy,recall
0,0.4978896023507214,0.4960484795069173,0.49607411659417855,0.4978687127024723,0.4978687127024723
1,0.4995034058225244,0.4970249510404739,0.4969942427091483,0.49957374254049447,0.49957374254049447
2,0.5269577741335127,0.52626130932076,0.5262468480859286,0.5268542199488491,0.5268542199488491
3,0.49438806706832555,0.4936283672651958,0.49361070161070153,0.49445865302642794,0.49445865302642794
4,0.4703816288654166,0.4421264053328027,0.4420051487414188,0.4782608695652174,0.4782608695652174
5,0.5190875075667448,0.46721442439476507,0.46734643328929987,0.5123614663256607,0.5123614663256607
6,0.5232818407316019,0.5194063710445713,0.5194395509852923,0.5225916453537937,0.5225916453537937
7,0.4977679305878212,0.4839732132441957,0.4840452106507152,0.4978687127024723,0.4978687127024723
8,0.5255164439932407,0.5092388473627404,0.5093076762183644,0.5225916453537937,0.5225916453537937
9,0.49957301389526454,0.49957301513710045,0.49957228773370643,0.49957374254049447,0.49957374254049447
